sexo;edadbu;causa;cuenta
1;1;E88;1
1;1;G12;1
1;1;G41;1
1;1;G71;1
1;1;G93;3
1;1;J85;1
1;1;P01;1
1;1;P03;1
1;1;P07;4
1;1;P21;1
1;1;P23;1
1;1;P24;1
1;1;P29;5
1;1;P36;2
1;1;P37;1
1;1;P52;1
1;1;P60;1
1;1;P77;8
1;1;P91;1
1;1;Q00;1
1;1;Q03;2
1;1;Q20;1
1;1;Q22;1
1;1;Q23;3
1;1;Q24;8
1;1;Q25;3
1;1;Q63;1
1;1;Q79;2
1;1;Q89;6
1;1;Q90;2
1;1;Q91;1
1;2;A41;1
1;2;C22;1
1;2;C71;1
1;2;C74;1
1;2;C97;1
1;2;I27;1
1;2;I42;1
1;2;N18;1
1;2;Q03;1
1;2;Q23;2
1;2;Q85;1
1;2;Q90;1
1;2;X59;1
1;3;C71;2
1;3;C74;1
1;3;C80;1
1;3;G40;1
1;3;G80;2
1;3;I50;1
1;3;J98;1
1;3;K65;1
1;3;X59;1
1;4;C41;1
1;4;C69;1
1;4;C71;3
1;4;C91;1
1;4;E76;1
1;4;G71;1
1;4;G93;2
1;4;I21;1
1;4;I50;1
1;4;I61;1
1;4;J18;1
1;4;Q43;1
1;4;Q89;1
1;4;X59;1
1;4;Y24;1
1;5;A16;1
1;5;C71;1
1;5;C84;1
1;5;C92;1
1;5;D37;1
1;5;D48;1
1;5;G71;1
1;5;G80;1
1;5;G93;3
1;5;G98;1
1;5;I21;1
1;5;I42;1
1;5;I50;1
1;5;I61;1
1;5;J18;1
1;5;J98;1
1;5;Q24;1
1;5;X59;3
1;5;Y20;1
1;5;Y24;9
1;5;Y34;2
1;6;A16;3
1;6;A41;2
1;6;C62;1
1;6;C80;1
1;6;C91;1
1;6;E14;1
1;6;E87;1
1;6;G80;2
1;6;G91;1
1;6;G93;3
1;6;I27;1
1;6;I42;2
1;6;I72;1
1;6;K25;1
1;6;K85;1
1;6;R99;1
1;6;U07;3
1;6;X59;4
1;6;Y17;1
1;6;Y20;6
1;6;Y24;7
1;6;Y28;1
1;6;Y34;5
1;7;A16;1
1;7;A41;2
1;7;A52;1
1;7;B20;3
1;7;B24;1
1;7;C18;1
1;7;C22;1
1;7;C41;1
1;7;C62;3
1;7;C63;1
1;7;C71;1
1;7;C80;1
1;7;C85;1
1;7;C91;1
1;7;C97;1
1;7;E14;2
1;7;G03;1
1;7;G93;6
1;7;I38;1
1;7;I42;2
1;7;I50;2
1;7;I51;1
1;7;I60;1
1;7;I61;1
1;7;I64;1
1;7;I67;1
1;7;J15;1
1;7;J18;2
1;7;J69;1
1;7;J96;1
1;7;K65;1
1;7;Q05;1
1;7;R99;1
1;7;U07;6
1;7;X59;9
1;7;Y20;4
1;7;Y24;8
1;7;Y26;2
1;7;Y28;5
1;7;Y34;6
1;8;A16;2
1;8;A41;4
1;8;B20;3
1;8;B23;3
1;8;C18;1
1;8;C34;3
1;8;C43;1
1;8;C62;3
1;8;C71;1
1;8;C80;1
1;8;C83;1
1;8;C84;1
1;8;C85;2
1;8;D37;1
1;8;D38;1
1;8;F73;1
1;8;G93;2
1;8;I21;1
1;8;I26;1
1;8;I42;6
1;8;I47;1
1;8;I50;4
1;8;I51;1
1;8;I61;2
1;8;I77;1
1;8;J18;4
1;8;J45;1
1;8;J69;2
1;8;J85;1
1;8;J98;1
1;8;K65;2
1;8;N28;1
1;8;R68;1
1;8;R99;3
1;8;U07;19
1;8;W79;1
1;8;X59;8
1;8;Y17;1
1;8;Y20;3
1;8;Y24;13
1;8;Y26;1
1;8;Y28;2
1;8;Y34;5
1;9;A19;1
1;9;A41;4
1;9;B20;3
1;9;B23;1
1;9;B24;1
1;9;B25;1
1;9;C02;1
1;9;C16;1
1;9;C18;4
1;9;C19;1
1;9;C20;1
1;9;C21;1
1;9;C34;3
1;9;C38;1
1;9;C43;1
1;9;C62;2
1;9;C71;1
1;9;C72;1
1;9;C81;1
1;9;C83;2
1;9;C84;1
1;9;C85;1
1;9;C92;1
1;9;C95;1
1;9;D32;1
1;9;D43;2
1;9;E66;1
1;9;G80;1
1;9;G93;1
1;9;I21;3
1;9;I33;2
1;9;I42;17
1;9;I49;2
1;9;I50;1
1;9;I60;3
1;9;I61;1
1;9;I63;1
1;9;I67;1
1;9;I77;1
1;9;J15;1
1;9;J18;5
1;9;J44;1
1;9;J98;5
1;9;K55;1
1;9;K65;1
1;9;K74;3
1;9;K76;1
1;9;K85;1
1;9;K92;1
1;9;N18;1
1;9;Q28;1
1;9;R99;1
1;9;U07;19
1;9;X59;3
1;9;Y17;1
1;9;Y20;2
1;9;Y21;1
1;9;Y24;10
1;9;Y28;7
1;9;Y34;2
1;10;A16;2
1;10;A41;1
1;10;A49;1
1;10;B20;3
1;10;B23;2
1;10;C15;2
1;10;C16;1
1;10;C18;5
1;10;C24;2
1;10;C25;2
1;10;C32;1
1;10;C34;2
1;10;C38;1
1;10;C60;2
1;10;C62;1
1;10;C64;1
1;10;C71;4
1;10;C72;1
1;10;C74;1
1;10;C80;4
1;10;C85;2
1;10;C91;2
1;10;C92;3
1;10;D43;1
1;10;D68;1
1;10;G03;1
1;10;G91;1
1;10;G93;3
1;10;I21;10
1;10;I25;2
1;10;I26;1
1;10;I31;1
1;10;I42;30
1;10;I49;1
1;10;I50;9
1;10;I51;1
1;10;I60;1
1;10;I61;3
1;10;I63;1
1;10;I64;1
1;10;I69;1
1;10;J15;2
1;10;J18;6
1;10;J93;1
1;10;J98;2
1;10;K63;1
1;10;K70;5
1;10;K72;2
1;10;K74;2
1;10;L03;1
1;10;N18;1
1;10;N19;2
1;10;N32;1
1;10;R57;1
1;10;R68;1
1;10;R99;7
1;10;U07;33
1;10;X59;10
1;10;Y20;9
1;10;Y24;4
1;10;Y26;1
1;10;Y28;1
1;10;Y34;6
1;11;A09;1
1;11;A16;2
1;11;A41;7
1;11;B00;1
1;11;B20;2
1;11;B23;4
1;11;B24;1
1;11;B57;1
1;11;C02;1
1;11;C09;1
1;11;C10;1
1;11;C15;1
1;11;C16;3
1;11;C18;3
1;11;C21;1
1;11;C22;4
1;11;C25;3
1;11;C33;1
1;11;C34;10
1;11;C38;1
1;11;C50;1
1;11;C61;1
1;11;C64;2
1;11;C68;1
1;11;C71;2
1;11;C72;1
1;11;C76;1
1;11;C80;3
1;11;C81;2
1;11;C83;1
1;11;C84;1
1;11;C85;1
1;11;C90;1
1;11;C92;2
1;11;C95;1
1;11;D37;2
1;11;D41;1
1;11;D69;1
1;11;E14;1
1;11;E46;1
1;11;F20;1
1;11;G12;1
1;11;G93;2
1;11;I10;1
1;11;I11;1
1;11;I21;10
1;11;I25;4
1;11;I42;33
1;11;I47;2
1;11;I48;1
1;11;I49;5
1;11;I50;7
1;11;I60;3
1;11;I61;5
1;11;I64;1
1;11;I71;3
1;11;I77;1
1;11;I85;2
1;11;J15;1
1;11;J18;13
1;11;J45;1
1;11;J69;1
1;11;J80;1
1;11;J81;2
1;11;J96;2
1;11;J98;3
1;11;K55;2
1;11;K56;1
1;11;K65;2
1;11;K70;2
1;11;K72;2
1;11;K73;3
1;11;K74;6
1;11;K76;1
1;11;K85;2
1;11;K92;2
1;11;L89;2
1;11;M35;1
1;11;N15;1
1;11;N17;1
1;11;N18;4
1;11;N19;1
1;11;N39;2
1;11;Q24;1
1;11;R57;2
1;11;R68;2
1;11;R99;4
1;11;U07;75
1;11;X59;12
1;11;X99;1
1;11;Y20;3
1;11;Y24;5
1;11;Y28;1
1;11;Y34;5
1;11;Y60;1
1;12;A16;4
1;12;A32;1
1;12;A41;14
1;12;B18;2
1;12;B21;1
1;12;B23;3
1;12;C01;1
1;12;C15;3
1;12;C16;6
1;12;C18;4
1;12;C20;6
1;12;C21;1
1;12;C22;5
1;12;C24;2
1;12;C25;12
1;12;C26;1
1;12;C32;1
1;12;C34;26
1;12;C61;2
1;12;C62;3
1;12;C64;2
1;12;C67;2
1;12;C68;1
1;12;C71;4
1;12;C80;3
1;12;C83;1
1;12;C85;3
1;12;C92;1
1;12;C95;1
1;12;D37;3
1;12;D41;1
1;12;D46;1
1;12;D48;1
1;12;D70;1
1;12;E11;1
1;12;E85;1
1;12;E87;1
1;12;G04;1
1;12;G10;1
1;12;G35;1
1;12;G41;1
1;12;G93;1
1;12;I11;1
1;12;I21;23
1;12;I25;6
1;12;I33;1
1;12;I35;2
1;12;I38;1
1;12;I42;54
1;12;I47;2
1;12;I49;3
1;12;I50;11
1;12;I51;1
1;12;I60;1
1;12;I61;10
1;12;I63;1
1;12;I64;1
1;12;I67;3
1;12;I69;1
1;12;I71;4
1;12;I72;1
1;12;I77;1
1;12;I85;1
1;12;J13;2
1;12;J15;1
1;12;J18;26
1;12;J44;2
1;12;J81;1
1;12;J96;1
1;12;J98;1
1;12;K56;1
1;12;K65;1
1;12;K70;2
1;12;K72;2
1;12;K74;6
1;12;K76;2
1;12;K92;8
1;12;L08;2
1;12;L89;2
1;12;N17;2
1;12;N18;5
1;12;N19;1
1;12;R57;2
1;12;R58;1
1;12;R68;5
1;12;R99;11
1;12;U07;101
1;12;W79;2
1;12;W87;1
1;12;X59;7
1;12;Y20;3
1;12;Y21;1
1;12;Y24;1
1;12;Y26;1
1;12;Y28;1
1;12;Y34;2
1;13;A16;2
1;13;A19;1
1;13;A41;13
1;13;A49;2
1;13;B20;2
1;13;B21;1
1;13;B23;4
1;13;B24;1
1;13;C02;1
1;13;C10;1
1;13;C11;2
1;13;C15;4
1;13;C16;6
1;13;C18;14
1;13;C20;10
1;13;C22;9
1;13;C24;2
1;13;C25;15
1;13;C26;1
1;13;C32;1
1;13;C34;30
1;13;C43;3
1;13;C49;1
1;13;C61;4
1;13;C64;9
1;13;C67;2
1;13;C68;1
1;13;C71;8
1;13;C73;1
1;13;C80;3
1;13;C81;1
1;13;C85;2
1;13;C91;1
1;13;C93;2
1;13;C95;3
1;13;D37;3
1;13;D43;1
1;13;D47;1
1;13;D48;2
1;13;D53;1
1;13;D68;1
1;13;D69;1
1;13;E11;2
1;13;E14;5
1;13;E83;2
1;13;G12;1
1;13;G35;1
1;13;G40;1
1;13;G41;1
1;13;G72;1
1;13;G93;2
1;13;I12;1
1;13;I20;2
1;13;I21;50
1;13;I24;5
1;13;I25;9
1;13;I26;1
1;13;I31;1
